address;code;postal_code;country;federal_district;minDeliveryDays;maxDeliveryDays;region_type;region;city_type;city;timezone;geo_lat;geo_lon;population
Амурская обл, г Белогорск;11374;676805;Россия;Дальневосточный;9;12;обл;Амурская;г;Белогорск;UTC+9;50.9213415;128.4739471;68220
Амурская обл, г Завитинск;11378;676870;Россия;Дальневосточный;9;12;обл;Амурская;г;Завитинск;UTC+9;50.1064111;129.4391813;11481
Амурская обл, г Зея;11379;676151;Россия;Дальневосточный;9;12;обл;Амурская;г;Зея;UTC+9;53.7340088;127.265787;25042
Амурская обл, г Райчихинск;11385;676770;Россия;Дальневосточный;9;12;обл;Амурская;г;Райчихинск;UTC+9;49.7941615;129.4112492;20499
Амурская обл, г Свободный;11387;676450;Россия;Дальневосточный;9;12;обл;Амурская;г;Свободный;UTC+9;51.3614103;128.1219729;58594
Амурская обл, г Сковородино;11389;676011;Россия;Дальневосточный;9;12;обл;Амурская;г;Сковородино;UTC+9;53.9871095;123.9437205;9561
Амурская обл, г Тында;11391;676280;Россия;Дальневосточный;9;12;обл;Амурская;г;Тында;UTC+9;55.1546441;124.7468904;35574
Амурская обл, г Циолковский;114764;676470;Россия;Дальневосточный;9;12;обл;Амурская;г;Циолковский;UTC+9;51.762481;128.1219846;6208
Амурская обл, г Шимановск;11392;676301;Россия;Дальневосточный;9;12;обл;Амурская;г;Шимановск;UTC+9;52.0051886;127.7005458;19815
г Анадырь;11458;689000;Россия;Дальневосточный;9;12;АО;Чукотский;г;Анадырь;UTC+12;64.7313924;177.5015421;13053
г Биробиджан;11393;679002;Россия;Дальневосточный;9;12;Аобл;Еврейская;г;Биробиджан;UTC+10;48.7946446;132.9217207;75419
г Благовещенск;77;675000;Россия;Дальневосточный;9;12;обл;Амурская;г;Благовещенск;UTC+9;50.290659;127.527198;214397
г Владивосток;75;690000;Россия;Дальневосточный;9;12;край;Приморский;г;Владивосток;UTC+10;43.1164904;131.8823937;592069
г Магадан;79;685000;Россия;Дальневосточный;9;12;обл;Магаданская;г;Магадан;UTC+11;59.5681332;150.8084956;95925
г Петропавловск-Камчатский;78;683000;Россия;Дальневосточный;9;12;край;Камчатский;г;Петропавловск-Камчатский;UTC+12;53.036908;158.6559254;179526
г Улан-Удэ;198;670000;Россия;Дальневосточный;9;12;Респ;Бурятия;г;Улан-Удэ;UTC+8;51.8335853;107.5842223;431922
г Хабаровск;76;680000;Россия;Дальневосточный;9;12;край;Хабаровский;г;Хабаровск;UTC+10;48.4647258;135.0598942;577668
г Чита;68;672000;Россия;Дальневосточный;9;12;край;Забайкальский;г;Чита;UTC+9;52.0340142;113.4994;323964
г Южно-Сахалинск;80;693000;Россия;Дальневосточный;9;12;обл;Сахалинская;г;Южно-Сахалинск;UTC+11;46.9591631;142.737976;181727
г Якутск;74;677000;Россия;Дальневосточный;9;12;Респ;Саха /Якутия/;г;Якутск;UTC+9;62.0281405;129.7325887;269486
Еврейская Аобл, г Облучье;11394;679100;Россия;Дальневосточный;9;12;Аобл;Еврейская;г;Облучье;UTC+10;49.0189345;131.0540102;9379
Забайкальский край, г Балей;30866;673450;Россия;Дальневосточный;9;12;край;Забайкальский;г;Балей;UTC+9;51.5823759;116.6379549;12536
Забайкальский край, г Борзя;11355;674600;Россия;Дальневосточный;9;12;край;Забайкальский;г;Борзя;UTC+9;50.3876058;116.5234779;31376
Забайкальский край, г Краснокаменск;11358;674670;Россия;Дальневосточный;9;12;край;Забайкальский;г;Краснокаменск;UTC+9;50.0929703;118.0323936;55668
Забайкальский край, г Могоча;11360;673730;Россия;Дальневосточный;9;12;край;Забайкальский;г;Могоча;UTC+9;53.7361398;119.7660867;13228
Забайкальский край, г Нерчинск;11361;673400;Россия;Дальневосточный;9;12;край;Забайкальский;г;Нерчинск;UTC+9;51.9594977;116.5852383;14976
Забайкальский край, г Петровск-Забайкальский;11364;673000;Россия;Дальневосточный;9;12;край;Забайкальский;г;Петровск-Забайкальский;UTC+9;51.2748592;108.846681;18555
Забайкальский край, г Сретенск;11366;673500;Россия;Дальневосточный;9;12;край;Забайкальский;г;Сретенск;UTC+9;52.2461454;117.7117842;6850
Забайкальский край, г Хилок;11368;673200;Россия;Дальневосточный;9;12;край;Забайкальский;г;Хилок;UTC+9;51.3634856;110.4590898;11530
Забайкальский край, г Шилка;11371;673303;Россия;Дальневосточный;9;12;край;Забайкальский;г;Шилка;UTC+9;51.8497035;116.0334461;13947
Камчатский край, г Вилючинск;11395;684090;Россия;Дальневосточный;9;12;край;Камчатский;г;Вилючинск;UTC+12;52.9302415;158.4057632;22905
Камчатский край, г Елизово;11396;684000;Россия;Дальневосточный;9;12;край;Камчатский;г;Елизово;UTC+12;53.1830375;158.3883548;39548
Магаданская обл, г Сусуман;11404;686314;Россия;Дальневосточный;9;12;обл;Магаданская;г;Сусуман;UTC+11;62.7805882;148.1540281;5865
Приморский край, г Арсеньев;11405;692330;Россия;Дальневосточный;9;12;край;Приморский;г;Арсеньев;UTC+10;44.1622031;133.2696209;56742
